src_img_name,mask_id,left_x,right_x,top_y,bottom_y,cell_id_cp
r02c02f01p01-ch4sk1fk1fl1.tiff,6d9562a6-765f-46f6-9e3d-6c74772157d4,195,205,521,537,91
r02c02f01p01-ch4sk1fk1fl1.tiff,4c1928ae-2441-42db-9cb4-f2e8db771ba6,193,208,189,211,92
r02c02f01p01-ch4sk1fk1fl1.tiff,08fef145-a5cd-437d-b9da-e2d83a5eeeed,199,214,61,74,95
r02c02f01p01-ch4sk1fk1fl1.tiff,75bc62b9-49f1-4604-811e-4dacea917dd1,203,217,235,249,96
r02c02f01p01-ch4sk1fk1fl1.tiff,8a1df2dc-95b7-4646-afed-89db7f6b5bf4,203,216,483,500,97
r02c02f01p01-ch4sk1fk1fl1.tiff,4945874f-ca3d-4d69-b4b2-5d844b36f551,207,220,273,289,98
r02c02f01p01-ch4sk1fk1fl1.tiff,222042c7-5438-429e-8282-095190009b05,208,219,526,542,99
r02c02f01p01-ch4sk1fk1fl1.tiff,b3025ae6-8338-4645-9579-bc86e948e707,211,226,102,120,100
r02c02f01p01-ch4sk1fk1fl1.tiff,e51493a1-f2c0-4ea3-8181-5f4aaa2cdf73,215,232,352,370,102
r02c02f01p01-ch4sk1fk1fl1.tiff,0274322a-32bb-47b3-8f46-5cc63f104741,226,240,41,58,104
r02c02f01p01-ch4sk1fk1fl1.tiff,772fdefa-b6e0-4845-b6e8-ac8bcbf6bffd,229,245,491,505,105
r02c02f01p01-ch4sk1fk1fl1.tiff,e11dede5-1486-4400-b0b3-1393cd0c7e43,226,243,4,21,106
r02c02f01p01-ch4sk1fk1fl1.tiff,1cb7bcbb-4569-4b59-96d3-4cde87b85988,237,249,290,307,107
r02c02f01p01-ch4sk1fk1fl1.tiff,fe12b699-8e82-4ff8-83af-e7ad2ce14ab5,242,256,427,444,108
r02c02f01p01-ch4sk1fk1fl1.tiff,ae68d306-00c4-46e3-b0dd-a41793c46bf9,244,261,101,113,109
r02c02f01p01-ch4sk1fk1fl1.tiff,e8c5be6b-ce7e-4925-af82-84506ae020f1,250,266,61,73,110
r02c02f01p01-ch4sk1fk1fl1.tiff,48c497cd-c724-41c0-94b4-445c2dcd76c7,252,266,113,124,111
r02c02f01p01-ch4sk1fk1fl1.tiff,c8d42dd9-9554-4888-b206-251f72d63cf2,251,265,464,478,112
r02c02f01p01-ch4sk1fk1fl1.tiff,616043aa-7d1d-44bc-b924-5d5585e6e760,254,269,270,288,113
r02c02f01p01-ch4sk1fk1fl1.tiff,2a8cc1ae-ef50-4764-a108-e6845f7f6487,257,268,375,386,115
r02c02f01p01-ch4sk1fk1fl1.tiff,5f853229-6a82-4a33-bfbe-4aad22105e21,263,277,132,146,116
r02c02f01p01-ch4sk1fk1fl1.tiff,a7327569-d23e-44d0-9b09-6e3493c82562,269,283,218,233,119
r02c02f01p01-ch4sk1fk1fl1.tiff,a3877788-86ce-4046-8ad0-7fde4d031535,270,287,163,178,120
r02c02f01p01-ch4sk1fk1fl1.tiff,1d654125-b6f1-4ac7-b4f7-84f6974acfca,276,292,329,346,123
r02c02f01p01-ch4sk1fk1fl1.tiff,05fffaa3-3aef-4a37-b8d9-b3db890da009,277,292,418,431,125
r02c02f01p01-ch4sk1fk1fl1.tiff,a2171b16-df2a-4286-a100-f97fb238709b,280,292,453,470,126
r02c02f01p01-ch4sk1fk1fl1.tiff,50539fc0-929f-426f-9d8c-f49deac3772c,285,297,365,381,129
r02c02f01p01-ch4sk1fk1fl1.tiff,24d897c7-e2b7-4766-9308-df365b9a0958,290,304,162,178,130
r02c02f01p01-ch4sk1fk1fl1.tiff,bab4db7f-510b-4ab0-a409-f27556886d35,296,307,318,336,132
r02c02f01p01-ch4sk1fk1fl1.tiff,4bff5be0-cece-46c1-87b9-60de3ee2d95b,293,305,502,519,133
r02c02f01p01-ch4sk1fk1fl1.tiff,2b96d764-950a-4d37-994f-e512f52ef81b,293,315,23,37,134
r02c02f01p01-ch4sk1fk1fl1.tiff,4d4b4cf1-f99c-4f54-b6a8-f955cc0f965a,304,321,459,474,136
r02c02f01p01-ch4sk1fk1fl1.tiff,5f27301e-a5bb-416c-92d7-2caecc5aeaf7,309,321,256,273,137
r02c02f01p01-ch4sk1fk1fl1.tiff,47ec3237-33ed-45b8-a3d3-a4851a146968,306,320,318,336,138
r02c02f01p01-ch4sk1fk1fl1.tiff,5c99c66a-e518-4cdd-938b-5880ff205dee,309,320,487,504,139
r02c02f01p01-ch4sk1fk1fl1.tiff,177366fd-80a4-4cf9-af66-c2ca2b93fc51,321,335,141,151,141
r02c02f01p01-ch4sk1fk1fl1.tiff,27038fc1-eaf1-487f-ab01-97a1ab2a1c43,326,337,212,223,143
r02c02f01p01-ch4sk1fk1fl1.tiff,3184b9d2-3151-4b50-925e-20abb0fee076,326,337,381,394,144
r02c02f01p01-ch4sk1fk1fl1.tiff,5f362db1-ebdf-4f91-900d-d758a8446d4b,325,339,435,447,145
r02c02f01p01-ch4sk1fk1fl1.tiff,9e2f72c8-2878-44b6-9f89-1c7fea3e2f1c,323,336,522,536,146
r02c02f01p01-ch4sk1fk1fl1.tiff,a65f6c53-2f50-4fe0-9000-f8e70af4aec3,330,340,192,210,147
r02c02f01p01-ch4sk1fk1fl1.tiff,ffdc563f-7698-4ef7-9a0b-d5dbaa90effb,331,343,314,332,148
r02c02f01p01-ch4sk1fk1fl1.tiff,648826b1-cd81-49b3-b602-a223f530be55,333,344,8,25,149
r02c02f01p01-ch4sk1fk1fl1.tiff,d760f167-3764-4e92-90ae-86fd8a835767,332,347,497,514,150
r02c02f01p01-ch4sk1fk1fl1.tiff,f17cd499-5a28-4660-919e-551e781d59f2,329,348,536,546,151
r02c02f01p01-ch4sk1fk1fl1.tiff,b1679a2c-4062-4ec3-a27e-bde9c0119042,332,346,162,180,152
r02c02f01p01-ch4sk1fk1fl1.tiff,7ec73778-7cd4-4f6d-b787-aa41da51d4e7,337,348,121,134,153
r02c02f01p01-ch4sk1fk1fl1.tiff,61cd2649-981f-4008-9afb-9941532bd947,343,357,159,170,156
r02c02f01p01-ch4sk1fk1fl1.tiff,cc450f5a-0a4e-4c7e-b890-d8373c7df041,344,357,374,390,157
r02c02f01p01-ch4sk1fk1fl1.tiff,81d243dd-f525-4599-a2cf-31174bc73c83,355,365,206,220,159
r02c02f01p01-ch4sk1fk1fl1.tiff,c1506c81-1018-40e2-9818-01f715c4a56b,352,366,471,486,160
r02c02f01p01-ch4sk1fk1fl1.tiff,c284d21e-d840-4205-b907-f0adba5844a4,355,369,301,319,162
r02c02f01p01-ch4sk1fk1fl1.tiff,6470780c-cdac-420a-b5d7-a822aedac60a,357,371,276,291,164
r02c02f01p01-ch4sk1fk1fl1.tiff,b7cb9f1a-1d10-42b8-adef-f75cbf653a0c,363,377,513,527,167
r02c02f01p01-ch4sk1fk1fl1.tiff,ea23c0da-44d6-44af-a139-2d13dc180665,365,379,209,230,168
r02c02f01p01-ch4sk1fk1fl1.tiff,c6dbe567-fb98-49e1-9b13-0b73ac902df9,365,380,157,170,169
r02c02f01p01-ch4sk1fk1fl1.tiff,90546138-4310-433a-9225-6ef04bd72d30,369,385,13,26,171
r02c02f01p01-ch4sk1fk1fl1.tiff,d3e88b6d-12c1-4b4f-b7e1-3623ffd78c71,379,393,249,264,172
r02c02f01p01-ch4sk1fk1fl1.tiff,f627d6e6-ae0d-45fb-9f5b-5560423f719d,379,392,80,94,173
r02c02f01p01-ch4sk1fk1fl1.tiff,0760e47f-3500-4a67-abf6-20a5307cc438,379,400,102,116,175
r02c02f01p01-ch4sk1fk1fl1.tiff,50eaee3b-0511-403d-8b01-b0ee57222ae4,402,419,458,474,180
r02c02f01p01-ch4sk1fk1fl1.tiff,554daa4f-23e5-4edf-a3dd-82408538f717,409,421,57,73,182
r02c02f01p01-ch4sk1fk1fl1.tiff,7357de94-22d5-4eda-9eaf-96daed69208b,420,428,383,400,184
r02c02f01p01-ch4sk1fk1fl1.tiff,b353e8dc-12f1-470e-80f6-34d7dcd4ba4e,425,438,59,74,186
r02c02f01p01-ch4sk1fk1fl1.tiff,d1899872-74ea-4a82-a7cd-c494d386296f,426,438,162,178,187
r02c02f01p01-ch4sk1fk1fl1.tiff,7af15568-0c4d-4c38-9450-7367c13ba558,421,438,434,448,188
r02c02f01p01-ch4sk1fk1fl1.tiff,79ca357b-a6d5-4061-a88f-2d90c053437a,434,446,372,388,189
r02c02f01p01-ch4sk1fk1fl1.tiff,eb9c7340-d9fe-4e20-a40a-d4beeecb0bf2,440,450,358,376,190
r02c02f01p01-ch4sk1fk1fl1.tiff,b1a00658-4c8a-4cb5-bfec-8497530a4a0e,452,463,143,162,193
r02c02f01p01-ch4sk1fk1fl1.tiff,ac6b9f97-ef53-4fc5-8c9e-68b163c8d99d,453,465,68,89,194
r02c02f01p01-ch4sk1fk1fl1.tiff,99faad7b-6a12-46e5-8d7f-78bf69619679,455,467,110,129,197
r02c02f01p01-ch4sk1fk1fl1.tiff,a358e465-68e3-4a80-9390-da78b976eee3,462,472,445,464,198
r02c02f01p01-ch4sk1fk1fl1.tiff,bde7aa28-0e79-4ff6-ace3-2afe8e8fc48d,463,475,468,487,201
r02c02f01p01-ch4sk1fk1fl1.tiff,06e23764-5c51-4d84-83c1-96d12b5d6f45,462,477,313,328,202
r02c02f01p01-ch4sk1fk1fl1.tiff,ba9ca7b2-02df-454d-8b8f-5bd1b334e747,469,480,151,170,204
r02c02f01p01-ch4sk1fk1fl1.tiff,cb79bee2-8e2c-4983-bd06-42791758a887,473,484,427,444,206
r02c02f01p01-ch4sk1fk1fl1.tiff,f57f5f4f-b565-4914-a093-15330c1d0aa1,473,489,6,20,207
r02c02f01p01-ch4sk1fk1fl1.tiff,f816d902-fb87-46fa-8c28-bccb5b656c83,474,487,370,386,208
r02c02f01p01-ch4sk1fk1fl1.tiff,23f47088-3d2b-44b2-b1c0-c47e803bf8a4,474,487,482,497,209
r02c02f01p01-ch4sk1fk1fl1.tiff,bcc6abb0-04ff-4667-b194-547c8f89b728,478,490,390,406,210
r02c02f01p01-ch4sk1fk1fl1.tiff,bf9f8414-2418-4992-9735-678a9eabc0ad,481,496,50,64,211
r02c02f01p01-ch4sk1fk1fl1.tiff,dcc27ab6-3959-4437-ab24-f1afa39462d7,480,499,21,31,212
r02c02f01p01-ch4sk1fk1fl1.tiff,f6d405c5-56cf-49d2-af4f-869903c4ef85,486,496,512,528,213
r02c02f01p01-ch4sk1fk1fl1.tiff,dd168004-3adc-4c2a-bc6f-38993afd0617,486,496,544,562,214
r02c02f01p01-ch4sk1fk1fl1.tiff,5c6d1251-6f85-4fea-a53f-9cd4593c04fb,492,504,210,224,216
r02c02f01p01-ch4sk1fk1fl1.tiff,ec7a1cfa-5d8d-4d7e-b8a7-6fce9abbb39b,493,504,441,458,217
r02c02f01p01-ch4sk1fk1fl1.tiff,c0aa3665-ce07-44e2-b75a-428d2d467d88,494,507,189,203,218
r02c02f01p01-ch4sk1fk1fl1.tiff,d5b2f51c-a094-4034-9435-c8cb9aa88e0b,504,520,278,293,219
r02c02f01p01-ch4sk1fk1fl1.tiff,5db184b5-c129-4367-804a-443da7ec4b90,511,519,490,506,220
r02c02f01p01-ch4sk1fk1fl1.tiff,69d9584a-8b21-409c-ab00-0801f30edc88,508,522,32,41,221
r02c02f01p01-ch4sk1fk1fl1.tiff,f0f4f526-3617-43d8-bcb5-f79a22dedeae,508,524,471,485,222
r02c02f01p01-ch4sk1fk1fl1.tiff,3b9cb947-15f9-4d13-902b-ff93dca1adf1,514,524,527,543,223
r02c02f01p01-ch4sk1fk1fl1.tiff,5d31b0fd-b033-4d2d-b8ef-86798de38f58,513,525,358,375,224
r02c02f01p01-ch4sk1fk1fl1.tiff,374ec760-7828-4cee-9408-7c76ac8aacab,511,526,431,451,225
r02c02f01p01-ch4sk1fk1fl1.tiff,a7de40e5-92a3-4d37-b9e1-c50f558c41a3,517,529,113,129,226
r02c02f01p01-ch4sk1fk1fl1.tiff,d50ae309-e7db-4c25-a9eb-3360439f4d97,519,530,493,510,227
r02c02f01p01-ch4sk1fk1fl1.tiff,74bfd8ec-ab80-44d9-a649-3aed21fcb99b,520,535,318,332,228
r02c02f01p01-ch4sk1fk1fl1.tiff,51635a59-3a3a-4061-8e02-75e28d7262dc,525,539,66,88,229
r02c02f01p01-ch4sk1fk1fl1.tiff,53019e23-1542-467b-97f1-3134a9039b9a,525,538,401,417,230
r02c02f01p01-ch4sk1fk1fl1.tiff,76439860-b9bc-4860-a17b-ea22f57fd15b,530,539,535,552,231
r02c02f01p01-ch4sk1fk1fl1.tiff,b6da0961-9c3d-413d-8f23-dc4c763d9605,527,542,24,34,232
r02c02f01p01-ch4sk1fk1fl1.tiff,0ff4b44b-a22e-4cb1-bd50-2a3aa82fb0d1,529,546,200,216,233
r02c02f01p01-ch4sk1fk1fl1.tiff,39569390-5a54-41ed-961f-17fb9e71a40a,537,551,490,508,234
r02c02f01p01-ch4sk1fk1fl1.tiff,5da2cf36-6cb6-4e42-a7ac-23da50c77e81,543,557,55,78,236
r02c02f01p01-ch4sk1fk1fl1.tiff,72d5b476-0d51-41a1-833a-84c9af62c60a,544,558,156,172,239
r02c02f01p01-ch4sk1fk1fl1.tiff,f39d3601-f0d5-4d1a-b55a-1aa60b8d7450,547,565,442,458,241
r02c02f01p01-ch4sk1fk1fl1.tiff,6befda32-86cf-4a1f-b840-7eacce2e081e,552,561,359,374,243
r02c02f02p01-ch4sk1fk1fl1.tiff,220ec859-4d28-4e52-b492-112ef7534c67,53,64,346,362,3
r02c02f02p01-ch4sk1fk1fl1.tiff,f5802c6c-0021-45d1-824e-214a1df2fb79,61,73,554,570,5
r02c02f02p01-ch4sk1fk1fl1.tiff,509db401-ece7-40ba-bf43-e61a3ab804b3,65,73,514,531,6
r02c02f02p01-ch4sk1fk1fl1.tiff,7d94b34b-75c6-4eca-9334-b2827abd207b,64,75,413,430,8
r02c02f02p01-ch4sk1fk1fl1.tiff,e0cb1a46-f0fc-4836-9f95-79eb13e87dbc,68,80,398,415,9
r02c02f02p01-ch4sk1fk1fl1.tiff,06a453b5-01a8-4275-a928-3cd4d5ef166d,69,80,347,371,10
r02c02f02p01-ch4sk1fk1fl1.tiff,e6a0b070-3c4a-460d-bee8-036228b0763d,73,80,291,304,11
r02c02f02p01-ch4sk1fk1fl1.tiff,2a07ad4e-a561-4993-82e9-979409367a12,75,85,319,332,13
r02c02f02p01-ch4sk1fk1fl1.tiff,d712eea9-fe5c-42e2-8ffc-12cf43de1632,82,92,272,290,15
r02c02f02p01-ch4sk1fk1fl1.tiff,53f7ccf6-136a-46ea-afd6-fbe8cfb822b6,89,99,355,373,17
r02c02f02p01-ch4sk1fk1fl1.tiff,e4d33d3f-7d83-4d50-ae5b-d51a61bbde35,88,99,438,456,18
r02c02f02p01-ch4sk1fk1fl1.tiff,bcc504f1-d473-417f-b231-d827f07bf9cd,91,101,407,422,19
r02c02f02p01-ch4sk1fk1fl1.tiff,d0e6cc6a-bb2c-4017-9bea-3a159c3abf25,93,104,245,267,20
r02c02f02p01-ch4sk1fk1fl1.tiff,e8042fe7-d19c-4a66-a3bb-c62a971f1517,92,103,288,303,21
r02c02f02p01-ch4sk1fk1fl1.tiff,1346e790-9e6f-4fd7-9e63-717ce572c22d,100,107,515,532,24
r02c02f02p01-ch4sk1fk1fl1.tiff,9ee9f190-16df-491b-800d-2bd7b2d32b86,106,114,485,500,25
r02c02f02p01-ch4sk1fk1fl1.tiff,d914d5a0-e11c-45a0-a19c-ab4123e5a203,109,121,550,568,26
r02c02f02p01-ch4sk1fk1fl1.tiff,6f517ddd-83e1-4dad-a9aa-45747aea2f5c,108,118,420,438,27
r02c02f02p01-ch4sk1fk1fl1.tiff,7c2c010f-0675-485a-afaf-c30511d1ad62,112,120,322,339,29
r02c02f02p01-ch4sk1fk1fl1.tiff,26400043-d989-49a6-82df-d7177c4e02fc,117,124,335,352,31
r02c02f02p01-ch4sk1fk1fl1.tiff,ff3d62c8-2e1b-4c0c-8de8-682130df54c3,121,129,539,555,35
r02c02f02p01-ch4sk1fk1fl1.tiff,fda0566a-18a7-4d4d-a42c-3337b3772707,127,133,254,269,36
r02c02f02p01-ch4sk1fk1fl1.tiff,ebd7320f-e09d-4e01-9090-a04aa4bcd3bb,137,144,390,411,40
r02c02f02p01-ch4sk1fk1fl1.tiff,b7e30aac-4c22-483a-bd57-faf67a14f736,139,148,257,273,41
r02c02f02p01-ch4sk1fk1fl1.tiff,4d2b7160-8d8b-4e0b-93f3-f0b4b21dd4dc,141,150,368,386,42
r02c02f02p01-ch4sk1fk1fl1.tiff,e98ce574-303b-47ce-911f-d3870a0df33d,144,155,269,284,43
r02c02f02p01-ch4sk1fk1fl1.tiff,e7b7827b-5c7f-4d41-b6eb-00ad594f0aab,146,154,336,351,45
r02c02f02p01-ch4sk1fk1fl1.tiff,3f30c126-2c53-4cd0-a927-ac77e96f516a,151,160,372,388,48
r02c02f02p01-ch4sk1fk1fl1.tiff,78d9df7e-d51d-49f8-962a-c04aef6e9263,153,163,255,273,49
r02c02f02p01-ch4sk1fk1fl1.tiff,08b1234b-1a0a-4f54-9e01-72c7fe1c8dd5,153,163,444,461,50
r02c02f02p01-ch4sk1fk1fl1.tiff,373c2d70-6d19-4b13-b8a7-a13cf8503beb,164,172,425,441,53
r02c02f02p01-ch4sk1fk1fl1.tiff,781165ab-c875-45f2-918b-a0b399d35b4e,166,177,124,136,54
r02c02f02p01-ch4sk1fk1fl1.tiff,8511cf16-9607-43b6-a94b-6d293fdbc4a2,165,175,298,318,55
r02c02f02p01-ch4sk1fk1fl1.tiff,aa9ac3ae-c380-429e-b327-3bc562d64ac1,167,177,355,376,56
r02c02f02p01-ch4sk1fk1fl1.tiff,8de26bc7-861d-4962-8c12-e5114dd2090c,172,183,463,480,58
r02c02f02p01-ch4sk1fk1fl1.tiff,a20634b9-92c9-4799-b087-97573fcdb1b6,175,196,315,339,59
r02c02f02p01-ch4sk1fk1fl1.tiff,c6203c7f-ec57-4df3-bd1a-da8f503649fc,182,189,348,366,60
r02c02f02p01-ch4sk1fk1fl1.tiff,ff2f3c5e-7f7f-4c21-98a3-b2d09fae2e34,182,192,481,496,62
r02c02f02p01-ch4sk1fk1fl1.tiff,4ecebce3-8789-40ab-9e73-84a643e285f0,193,203,467,485,65
r02c02f02p01-ch4sk1fk1fl1.tiff,7c0b5448-d7d7-44ab-b85f-32934da10887,199,212,195,215,66
r02c02f02p01-ch4sk1fk1fl1.tiff,40d18205-ebe2-48ca-b717-88bfe52fa66d,204,212,383,400,69
r02c02f02p01-ch4sk1fk1fl1.tiff,717dc99c-5fa2-4744-a464-1324dfaf6132,203,214,503,520,70
r02c02f02p01-ch4sk1fk1fl1.tiff,2508e111-0309-4dbb-af31-2c8e49329d9f,204,215,415,431,71
r02c02f02p01-ch4sk1fk1fl1.tiff,ed6ae42f-e89b-4fb9-a6ab-d1bba24189b2,206,215,324,342,72
r02c02f02p01-ch4sk1fk1fl1.tiff,61b9fb6d-3557-4343-b27d-8bde8bfd5da0,208,220,246,263,73
r02c02f02p01-ch4sk1fk1fl1.tiff,22579585-be65-47c2-b002-63d86918994f,214,228,516,533,76
r02c02f02p01-ch4sk1fk1fl1.tiff,3307567a-9f4b-4ece-aa7f-cb4c4b8a6fb6,217,226,305,324,77
r02c02f02p01-ch4sk1fk1fl1.tiff,e52a32a1-9cfc-4e47-b6c2-a0cf5cb05666,225,235,169,186,78
r02c02f02p01-ch4sk1fk1fl1.tiff,42cbd292-4260-4b6c-b648-b42d459e540c,225,236,360,380,79
r02c02f02p01-ch4sk1fk1fl1.tiff,91a83ec1-fc4c-4ec6-a4f7-1719cc509736,228,237,497,513,80
r02c02f02p01-ch4sk1fk1fl1.tiff,6a484459-a1c8-4776-9783-46bf27ef13b7,229,239,301,316,81
r02c02f02p01-ch4sk1fk1fl1.tiff,6e6bac40-35da-4993-a009-57fd76293fdb,231,243,60,73,82
r02c02f02p01-ch4sk1fk1fl1.tiff,53945632-3ce4-4575-bb1c-44cb4f61e6b8,230,240,266,283,83
r02c02f02p01-ch4sk1fk1fl1.tiff,18e2484d-5a1f-4b4b-a721-4e86d715df00,233,241,204,221,84
r02c02f02p01-ch4sk1fk1fl1.tiff,edc91584-7f1a-42e5-9d66-ed03b6754ea1,233,241,477,494,85
r02c02f02p01-ch4sk1fk1fl1.tiff,7aee72cf-0880-4019-bc83-bf48c7639934,238,252,520,535,87
r02c02f02p01-ch4sk1fk1fl1.tiff,9faebb9b-0f93-454b-88a9-49be0269ace9,243,253,427,443,89
r02c02f02p01-ch4sk1fk1fl1.tiff,a8e53f86-06c3-450a-99e6-580cb1f0eb67,245,254,399,416,90
